CITYID,ATTRACTIONNAME,NBATTRACTION_NAME,nbattraction_reviewnum,nbattraction_mile
0001,"African Bead Museum","Detroit Institute of Arts","2,321 reviews ","2.26 miles away "
0001,"Ambassador Bridge",Mexicantown,"228 reviews ",".85 miles away "
0001,"Anna Scripps Whitcomb Conservatory","Belle Isle Park","828 reviews ",".14 miles away "
0001,"Beacon Park","Fox Theatre","428 reviews ",".30 miles away "
0001,"Belle Isle Aquarium","Belle Isle Park","828 reviews ",".20 miles away "
0001,"Belle Isle Park","Dossin Great Lakes Museum","115 reviews ",".10 miles away "
0001,"Better Made Snack Foods","Fowling Warehouse","46 reviews ","2.11 miles away "
0001,"Bonstelle Theatre","Comerica Park","2,328 reviews ",".69 miles away "
0001,"Boston Edison Historic District","Detroit Institute of Arts","2,321 reviews ","2.22 miles away "
0001,"Cadillac Square",null,null,null
0001,"Campus Martius Park","The Guardian Building","565 reviews ",".14 miles away "
0001,"Central United Methodist Church","Comerica Park","2,328 reviews ",".06 miles away "
0001,"Century Club","Comerica Park","2,328 reviews ",".17 miles away "
0001,"Charles H. Wright Museum of African American History","Detroit Institute of Arts","2,321 reviews ",".17 miles away "
0001,"Chene Park Amphitheatre","Canadian Club Brand Center","258 reviews ",".71 miles away "
0001,"Cobo Center","The Guardian Building","565 reviews ",".21 miles away "
0001,"College for Creative Studies","Detroit Institute of Arts","2,321 reviews ",".12 miles away "
0001,"Comerica Park","Fox Theatre","428 reviews ",".15 miles away "
0001,"Corktown Historic District","Detroit Symphony Orchestra","117 reviews ",".85 miles away "
0001,"Definitive Style Exclusive","Comerica Park","2,328 reviews ",".22 miles away "
0001,"Detroit City Distillery","Comerica Park","2,328 reviews ",".83 miles away "
0001,"Detroit Cultural Center Historic District","The Guardian Building","565 reviews ",".17 miles away "
0001,"Detroit Downtown","The Guardian Building","565 reviews ",".04 miles away "
0001,"Detroit Historical Museum","Detroit Institute of Arts","2,321 reviews ",".12 miles away "
0001,"Detroit Institute of Arts","The Ford Piquette Avenue Plant","345 reviews ",".64 miles away "
0001,"Detroit Opera House","Comerica Park","2,328 reviews ",".11 miles away "
0001,"Detroit People Mover","Campus Martius Park","225 reviews ",".18 miles away "
0001,"Detroit Public Library","Detroit Institute of Arts","2,321 reviews ",".09 miles away "
0001,"Detroit Repertory Theatre","Polish Art Center","35 reviews ","2.70 miles away "
0001,"Detroit Symphony Orchestra","Detroit Institute of Arts","2,321 reviews ",".80 miles away "
0001,"Detroit-Windsor Tunnel","The Guardian Building","565 reviews ",".21 miles away "
0001,"Dossin Great Lakes Museum","Belle Isle Park","828 reviews ",".10 miles away "
0001,"Earthworks Urban Farms","Canadian Club Brand Center","258 reviews ","1.72 miles away "
0001,"Eastern Market","Comerica Park","2,328 reviews ",".88 miles away "
